 Category,Product/Tool,Short Update,Long Update,Document Link,Example Link,Release
Analytics,SAS Visual Machine Learning,Enhancement to Node: Open Source Code,Variable dm_exposure identifies the name of the exposure variable,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlwn/p08en4kfvqe8kmn1xym4xs9wbcee.htm#p0uxtnw5ir4v4gn16ngezu8s8zlm,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlwn/p08en4kfvqe8kmn1xym4xs9wbcee.htm#p0uxtnw5ir4v4gn16ngezu8s8zlm,202508
Analytics,SAS Visual Machine Learning,Enhancement to Node: Open Source Code,Variable dm_offset identifies the name of the offset variable,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlwn/p08en4kfvqe8kmn1xym4xs9wbcee.htm#p0uxtnw5ir4v4gn16ngezu8s8zlm,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlwn/p08en4kfvqe8kmn1xym4xs9wbcee.htm#p0uxtnw5ir4v4gn16ngezu8s8zlm,202508
Analytics,SAS Visual Machine Learning,Enhancement to Node: SAS Code,Macro dm_exposure is available on the Macros pane,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlwn/p08en4kfvqe8kmn1xym4xs9wbcee.htm#n09w0da11k1bb5n1pcenswbx40xv,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlwn/p08en4kfvqe8kmn1xym4xs9wbcee.htm#n09w0da11k1bb5n1pcenswbx40xv,202508
Analytics,SAS Visual Machine Learning,Enhancement to Node: SAS Code,Macro variable dm_exposure identifies the nliteral name of the exposure variable,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlwn/p08en4kfvqe8kmn1xym4xs9wbcee.htm#n09w0da11k1bb5n1pcenswbx40xv,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlwn/p08en4kfvqe8kmn1xym4xs9wbcee.htm#n09w0da11k1bb5n1pcenswbx40xv,202508
Analytics,SAS Visual Machine Learning,Enhancement to Node: SAS Code,Macro variable dm_offset identifies the nliteral name of the offset variable,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlwn/p08en4kfvqe8kmn1xym4xs9wbcee.htm#n09w0da11k1bb5n1pcenswbx40xv,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlwn/p08en4kfvqe8kmn1xym4xs9wbcee.htm#n09w0da11k1bb5n1pcenswbx40xv,202508
Analytics,SAS Visual Machine Learning,Enhancement to Proc: ERCOMPSTORE,The REGRESSLIMIT= suboption of the MAXELEMENTTYPECOUNTS= option specifies the maximum number of element values to store for the specified element type in the COMPOUNDTYPE statement,https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casrteng/casrteng_ercompstore_syntax03.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casrteng/casrteng_ercompstore_syntax03.htm,202508
Analytics,SAS Visual Machine Learning,Enhancement to Proc: ERCOMPSTORE,The EXCLUSIONREGRESSLIMIT= option specifies the maximum number of element values to store for computing compound exclusions. This limit is applied to each compound exclusion rule unless you specify a different limit by using the REGRESSLIMIT= suboption of the MAXELEMENTTYPECOUNTS= option in the COMPOUND statement,https://go.documentation.sas.com/doc/en/pgmsascdc/v_065/casrteng/casrteng_ercompstore_toc.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_065/casrteng/casrteng_ercompstore_toc.htm,202508
Analytics,SAS Visual Machine Learning,Enhancement to Action Set: fairAITools,The assessBias action generates a new GroupInfo table when the sensitive variable has a user-defined format,https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casactml/casactml_fairaitools_details12.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casactml/casactml_fairaitools_details12.htm,202508
Analytics,SAS Visual Machine Learning,Enhancement to Action Set: fairAITools,The new mitigateBiasGradientSVM action enables you to train a support vector machine (SVM) while minimizing the bias metric that you specify,https://documentation.sas.com/doc/en/pgmsascdc/v_065/casactml/casactml_fairaitools_toc.htm,https://documentation.sas.com/doc/en/pgmsascdc/v_065/casactml/casactml_fairaitools_toc.htm,202507
Analytics,SAS Visual Machine Learning,Enhancement to Action Set: fairAITools,The new mitigateBiasNeuralNet action enables you to train a neural network model while minimizing the bias metric that you specify,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casactml/casactml_fairaitools_toc.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casactml/casactml_fairaitools_toc.htm,202505
Analytics,SAS Visual Machine Learning,Enhancement to Action Set: rteng,The createCompoundStore action now includes an exclusionRegressLimit parameter and a regressLimit subparameter of the maxElementTypeCounts parameter. They enable you to specify the maximum number of element values to store for computing compound exclusions. The exclusionRegressLimit parameter value is applied to each compound exclusion rule unless you specify a different value in the regressLimit subparameter,https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casactml/cas-rteng-createcompoundstore.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casactml/cas-rteng-createcompoundstore.htm,202508
Analytics,SAS Visual Machine Learning,Enhancement to Proc: NOMINALDR,The procedure now supports a new method, logistic principal component analysis (LPCA), to perform dimension reduction of nominal variables,https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casml/casml_nominaldr_syntax01.htm#casml.nominaldr.procmethod,https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casml/casml_nominaldr_syntax01.htm#casml.nominaldr.procmethod,202508
Analytics,SAS Visual Machine Learning,Enhancement to Proc: ASSESSBIAS,The procedure generates a new GroupInfo table when the sensitive variable has a user-defined format,https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casml/casml_assessbias_details10.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casml/casml_assessbias_details10.htm,202508
Analytics,SAS Visual Machine Learning,Enhancement to Action Set: nominalVarsDimReduction,The new lpca action enables you to perform dimension reduction of nominal variables by using logistic principal component analysis (LPCA),https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casactml/cas-nominalvarsdimreduction-lpca.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_066/casactml/cas-nominalvarsdimreduction-lpca.htm,202508
Analytics,SAS Visual Machine Learning,New report Bias Mitigation Metrics is available on the Fairness and Bias tab,New report Bias Mitigation Metrics is available on the Fairness and Bias tab in the Results view for the supervised learning nodes. This report displays one or more key fairness statistics for each variable that is selected for bias assessment,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlref/titlepage.htm,https://go.documentation.sas.com/doc/en/capcdc/v_033/vdmmlcdc/vdmmlref/titlepage.htm,202508
Analytics,SAS Visual Machine Learning,Enhancement to Proc: SVMACHINE,The new MITIGATEBIAS statement enables you to train a support vector machine (SVM) while minimizing the bias metric that you specify,https://documentation.sas.com/doc/en/pgmsascdc/v_065/casml/casml_svmachine_toc.htm,https://documentation.sas.com/doc/en/pgmsascdc/v_065/casml/casml_svmachine_toc.htm,202507
Analytics,SAS Visual Machine Learning,Enhancement to Action Set: recommenderEngine,The new itemBased parameter in the recKnn action enables you to choose between a user-based and an item-based nearest-neighbor model. When you set this parameter to False, recommendations are generated on the basis of shared interaction patterns between users. When you set this parameter to True, recommendations are generated on the basis of an item similarity search,https://documentation.sas.com/doc/en/pgmsascdc/v_065/casactml/cas-recommenderengine-recknn.htm,https://documentation.sas.com/doc/en/pgmsascdc/v_065/casactml/cas-recommenderengine-recknn.htm,202507
Analytics,SAS Visual Machine Learning,Enhancement to Action Set: recommenderEngine,The default value of the boundObj parameter in the recDtos action has changed to True to improve the performance of this action. Also, you can now use flexible user feature input columns to score your recommender engine model; that is, the input scoring data set does not need to have all the user features that the training action uses,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casactml/casactml_recommenderengine_toc.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casactml/casactml_recommenderengine_toc.htm,202505
Analytics,SAS Visual Machine Learning,Enhancement to Action Set: fairAITools, new mitigateBiasGradientBoostTree action,The new mitigateBiasGradientBoostTree action enables you to train a gradient boosting tree model while minimizing the bias metric that you specify,https://go.documentation.sas.com/doc/en/pgmsascdc/v_064/casactml/casactml_fairaitools_toc.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_064/casactml/casactml_fairaitools_toc.htm,202506
Analytics,SAS Visual Machine Learning,Enhancement to PROC: GRADBOOST, new MITIGATEBIAS statement,The new MITIGATEBIAS statement enables you to train a gradient boosting tree model while minimizing the bias metric that you specify,https://go.documentation.sas.com/doc/en/pgmsascdc/v_064/casml/casml_gradboost_syntax12.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_064/casml/casml_gradboost_syntax12.htm,202506
Analytics,SAS Visual Machine Learning,New PROC: LIME,This new procedure implements the local interpretable model-agnostic explanations (LIME) method. It enables you to explain how a machine learning model behaves near a specific query observation,https://go.documentation.sas.com/doc/en/pgmsascdc/v_064/casml/casml_lime_toc.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_064/casml/casml_lime_examples01.htm,202506
Analytics,SAS Visual Machine Learning,Enhancement to Proc: NNET,The new MITIGATEBIAS statement enables you to train a neural network model while minimizing the bias metric that you specify,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_nnet_syntax09.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_nnet_syntax09.htm,202505
Analytics,SAS Visual Machine Learning,New Action Set: nominalVarsDimReduction,The Nominal Variables Dimension Reduction action set is now available. The new mca action enables you to perform dimensionality reduction for nominal variables,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casactml/casactml_nominalvarsdimreduction_toc.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casactml/casactml_nominalvarsdimreduction_toc.htm,202505
Analytics,SAS Visual Machine Learning,New Proc: NOMINALDR,This new procedure enables you to perform dimensionality reduction for nominal variables,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_nominaldr_toc.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_nominaldr_toc.htm,202505
Analytics,SAS Visual Machine Learning,Enhancement to Proc: ASTORE,now enables you to score multiple correspondence analysis (MCA) models that were trained using the NOMINALDR procedure or the nominalVarsDimReduction.mca action,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_astore_toc.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_astore_toc.htm,202505
Analytics,SAS Visual Machine Learning,Enhancement to Proc: ASTORE,This procedure now enables you to score deep learning text classification models that were trained using the TEXTBERT procedure. The SETOPTION statement also includes two additional options, DOCUMENT_BATCH_SIZE and INCLUDE_ALL_SCORES, when you score a model that was trained using PROC TEXTBERT,https://documentation.sas.com/doc/en/pgmsascdc/v_062/casml/casml_astore_syntax08.htm,https://documentation.sas.com/doc/en/pgmsascdc/v_062/casml/casml_astore_syntax08.htm,202504
Analytics,SAS Visual Machine Learning,Enhancement to Proc: ASTORE,The SETOPTION statement now includes an AGGREGATION_METHOD option when you score a model that was trained using the recKnn action,https://go.documentation.sas.com/doc/en/pgmsascdc/v_061/casml/casml_astore_syntax08.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_061/casml/casml_astore_syntax08.htm,202503
Analytics,SAS Visual Machine Learning,New Proc: FPCASCORE,This new procedure enables you to apply a previously trained functional principal component analysis (FPCA) model to new functional data in order to compute functional principal component scores. For example, you can use it to project new functional observations onto the computed functional principal components for analysis and prediction,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_fpcascore_toc.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_fpcascore_toc.htm,202505
Analytics,SAS Visual Machine Learning,Enhancement to Proc: RECENGINE,This procedure now supports the BOUNDOBJ option in the DTOS statement when you use the data translation with optimal step size (DTOS) method. This option can significantly improve the performance of the DTOS method,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_recengine_syntax07.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_recengine_syntax07.htm,202505
Analytics,SAS Visual Machine Learning,Enhancement to Proc: RECENGINE,This procedure now enables you to train an explicit feedback model by specifying a target variable in the TARGET statement that includes users’ explicit ratings of items,https://go.documentation.sas.com/doc/en/pgmsascdc/v_062/casml/casml_recengine_syntax13.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_062/casml/casml_recengine_syntax13.htm,202504
Analytics,SAS Visual Machine Learning,Enhancement to Proc: RECENGINE,The new CONTEXT statement accepts context features from the input variables that can be used when you specify the METHOD=BPR option. Context features are transaction features such as the time or amount that is spent in the transaction,https://go.documentation.sas.com/doc/en/pgmsascdc/v_061/casml/casml_recengine_syntax04.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_061/casml/casml_recengine_syntax04.htm,202503
Analytics,SAS Visual Machine Learning,Enhancement to Proc: RECENGINE,The procedure now accepts user features and item features that you can use to train a recommender engine model when the selected method is data translation with optimal step size (DTOS),https://go.documentation.sas.com/doc/en/pgmsascdc/v_055/casml/casml_recengine_toc.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_055/casml/casml_recengine_toc.htm,202409
Analytics,SAS Visual Machine Learning,New Proc: FPCA,This new procedure enables you to perform functional principal component analysis (FPCA) on dense, regularly spaced functional data. For example, you can use it to perform dimensionality reduction and feature extraction on functional data,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_fpca_toc.htm,https://go.documentation.sas.com/doc/en/pgmsascdc/v_063/casml/casml_fpca_toc.htm,202505
Analytics,SAS Visual Machine Learning,Network Python API,You can now take advantage of SAS Viya Network capabilities by using a native Python interface. The API includes a number of graph theory and network analysis algorithms that can augment data mining and machine learning approaches,https://go.documentation.sas.com/doc/en/workbenchcdc/v_001/vwbpynetpg/titlepage.htm,https://go.documentation.sas.com/doc/en/workbenchcdc/v_001/vwbpynetpg/titlepage.htm,202505
Analytics,SAS Visual Machine Learning,New Action: fairAITools.mitigateBiasForest,he new mitigateBiasForest action enables you to train a forest model while minimizing the bias metric that you specify,https://documentation.sas.com/doc/en/pgmsascdc/v_062/casactml/casactml_fairaitools_toc.htm,https://documentation.sas.com/doc/en/pgmsascdc/v_062/casactml/casactml_fairaitools_toc.htm,202504
