question,choices,answer
What is the capital of France?,a)Paris;b)London;c)Berlin,a
What is the largest planet in our solar system?,a)Earth;b)Mars;c)Jupiter;d)Saturn,c
Which country is known as the Land of the Rising Sun?,a)China;b)Japan;c)South Korea;d)Vietnam,b
What is the chemical symbol for water?,a)H2O;b)CO2;c)O2,a
What is the smallest country in the world?,a)Vatican City;b)Monaco;c)San Marino,a
What is the main ingredient in guacamole?,a)Avocado;b)Tomato;c)Onion,a
What is the hardest natural substance on Earth?,a)Iron;b)Gold;c)Diamond,c
What is the largest mammal?,a)Elephant;b)Blue Whale;c)Giraffe,b
What is the capital of Japan?,a)Seoul;b)Tokyo;c)Osaka;d)Beijing,b
What is the primary language spoken in Brazil?,a)Spanish;b)Portuguese;c)English;d)French,b
